type,lane,startmeasure,startposition,endmeasure,endposition
1,9,0,1,0,1
1,9,0,3,0,3
1,9,0,0,0,0
1,9,0,2,0,2
0,9,2,0,2,0
1,9,2,2,2,2
1,9,2,1,2,1
1,9,2,3,2,3
1,9,4,2,4,2
1,9,4,1,4,1
1,9,6,1,6,1
1,9,6,3,6,3
1,9,7,3,7,3
1,9,7,0,7,0
1,9,9,0,9,0
1,9,9,1,9,1
1,9,14,1,14,1
1,9,14,0,14,0
1,10,3,0,3,0
1,10,3,3,3,3
1,10,9,3,9,3
1,10,14,2,14,2
1,11,1,1,1,1
1,11,4,3,4,3
1,11,4,2,4,2
1,11,4,1,4,1
1,11,4,3,4,3
1,11,6,0,6,0
1,11,6,1,6,1
1,11,6,0,6,0
1,11,6,2,6,2
1,11,6,1,6,1
1,11,6,3,6,3
1,11,6,3,6,3
1,11,7,1,7,1
1,11,7,1,7,1
1,11,7,0,7,0
1,11,8,2,8,2
1,11,8,0,8,0
1,11,8,3,8,3
1,11,10,2,10,2
1,11,10,1,10,1
1,11,10,3,10,3
1,11,10,1,10,1
1,11,10,0,10,0
1,11,10,0,10,0
1,11,11,1,11,1
1,11,11,1,11,1
1,11,11,2,11,2
1,11,12,3,12,3
1,11,12,0,12,0
1,11,12,3,12,3
1,11,14,1,14,1
1,11,14,2,14,2
1,11,14,1,14,1
1,11,14,3,14,3
1,11,14,3,14,3
1,11,14,0,14,0
1,11,15,2,15,2
1,11,15,3,15,3
1,11,15,1,15,1
1,12,0,1,0,1
1,12,0,0,0,0
1,12,0,0,0,0
1,12,2,0,2,0
1,12,2,1,2,1
1,12,2,1,2,1
1,12,2,0,2,0
1,12,2,2,2,2
1,12,2,3,2,3
1,12,3,3,3,3
1,12,3,2,3,2
1,12,3,0,3,0
1,12,4,1,4,1
1,12,4,0,4,0
1,12,4,1,4,1
1,12,4,3,4,3
0,12,6,3,6,3
1,12,6,0,6,0
0,12,6,3,6,3
1,12,6,1,6,1
1,12,7,0,7,0
0,12,7,2,7,2
0,12,7,1,7,1
1,12,8,0,8,0
0,12,8,3,8,3
0,12,8,3,8,3
0,12,9,2,9,2
0,12,9,0,9,0
1,12,9,0,9,0
1,12,10,1,10,1
0,12,10,3,10,3
0,12,10,3,10,3
1,12,11,1,11,1
0,12,11,0,11,0
1,12,12,1,12,1
0,12,12,3,12,3
1,12,12,2,12,2
1,12,12,0,12,0
0,12,12,1,12,1
0,12,13,1,13,1
1,12,13,3,13,3
1,12,13,2,13,2
1,12,13,0,13,0
1,12,14,3,14,3
1,12,14,3,14,3
1,12,14,0,14,0
0,12,14,2,14,2
0,12,14,1,14,1
1,12,15,0,15,0
0,12,15,0,15,0
0,12,15,1,15,1
0,13,0,1,0,1
1,13,0,2,0,2
0,13,0,0,0,0
0,13,1,1,1,1
0,13,1,3,1,3
1,13,1,2,1,2
1,13,2,1,2,1
0,13,2,0,2,0
0,13,2,0,2,0
1,13,3,3,3,3
1,13,3,1,3,1
0,13,3,3,3,3
0,13,3,2,3,2
0,13,4,0,4,0
0,13,4,3,4,3
1,13,4,0,4,0
1,13,4,1,4,1
1,13,5,1,5,1
0,13,5,2,5,2
0,13,5,1,5,1
0,13,6,3,6,3
1,13,6,3,6,3
0,13,6,1,6,1
1,13,6,0,6,0
1,13,6,0,6,0
1,13,7,3,7,3
0,13,7,1,7,1
0,13,7,0,7,0
1,13,8,2,8,2
0,13,8,3,8,3
0,13,8,1,8,1
0,13,9,3,9,3
0,13,9,0,9,0
1,13,9,2,9,2
1,13,10,1,10,1
0,13,10,3,10,3
0,13,10,1,10,1
1,13,11,1,11,1
0,13,11,3,11,3
0,13,11,0,11,0
1,13,12,0,12,0
1,13,12,3,12,3
1,13,12,1,12,1
0,13,12,2,12,2
0,13,13,1,13,1
0,13,13,0,13,0
1,13,13,3,13,3
1,13,13,3,13,3
1,13,13,1,13,1
0,13,14,1,14,1
1,13,14,0,14,0
1,13,14,3,14,3
1,13,14,2,14,2
0,13,14,3,14,3
1,13,15,0,15,0
0,13,15,3,15,3
0,13,15,1,15,1
1,14,0,0,0,0
0,14,0,3,0,3
0,14,0,1,0,1
0,14,1,1,1,1
1,14,1,0,1,0
0,14,1,3,1,3
0,14,2,3,2,3
0,14,2,1,2,1
1,14,2,0,2,0
1,14,3,2,3,2
0,14,3,1,3,1
0,14,3,3,3,3
1,14,3,0,3,0
0,14,4,1,4,1
0,14,4,3,4,3
0,14,4,0,4,0
1,14,4,2,4,2
0,14,5,0,5,0
1,14,5,2,5,2
1,14,6,3,6,3
0,14,6,0,6,0
1,14,6,3,6,3
1,14,6,1,6,1
1,14,6,1,6,1
1,14,6,1,6,1
0,14,7,0,7,0
1,14,7,1,7,1
1,14,8,1,8,1
1,14,8,2,8,2
0,14,8,0,8,0
1,14,8,2,8,2
1,14,9,3,9,3
1,14,9,3,9,3
1,14,9,1,9,1
0,14,9,1,9,1
1,14,10,0,10,0
1,14,10,3,10,3
1,14,10,0,10,0
0,14,10,3,10,3
0,14,10,2,10,2
0,14,10,1,10,1
1,14,10,3,10,3
1,14,11,0,11,0
0,14,11,1,11,1
1,14,11,0,11,0
1,14,12,3,12,3
0,14,12,0,12,0
1,14,12,3,12,3
1,14,12,1,12,1
1,14,12,2,12,2
1,14,12,2,12,2
0,14,13,0,13,0
1,14,13,1,13,1
1,14,14,3,14,3
1,14,14,0,14,0
0,14,14,2,14,2
1,14,14,1,14,1
1,14,14,3,14,3
0,14,14,1,14,1
1,14,14,1,14,1
0,14,15,0,15,0
1,14,15,0,15,0
1,15,0,3,0,3
1,15,0,3,0,3
1,15,0,1,0,1
1,15,0,2,0,2
0,15,0,0,0,0
1,15,0,2,0,2
1,15,1,3,1,3
1,15,1,3,1,3
1,15,1,1,1,1
0,15,1,1,1,1
0,15,2,3,2,3
0,15,2,1,2,1
1,15,2,2,2,2
1,15,2,3,2,3
1,15,2,0,2,0
1,15,2,0,2,0
1,15,2,3,2,3
1,15,3,2,3,2
0,15,3,1,3,1
0,15,4,1,4,1
1,15,4,3,4,3
1,15,4,3,4,3
1,15,4,3,4,3
1,15,5,3,5,3
1,15,5,0,5,0
0,15,5,2,5,2
1,15,5,0,5,0
1,15,6,3,6,3
1,15,6,3,6,3
0,15,6,0,6,0
1,15,6,1,6,1
1,15,6,1,6,1
1,15,6,1,6,1
0,15,7,0,7,0
0,15,7,2,7,2
1,15,7,1,7,1
1,15,8,1,8,1
1,15,8,0,8,0
0,15,8,1,8,1
1,15,8,0,8,0
1,15,9,3,9,3
1,15,9,3,9,3
1,15,9,1,9,1
0,15,9,2,9,2
1,15,10,0,10,0
1,15,10,0,10,0
0,15,10,1,10,1
0,15,10,3,10,3
1,15,10,3,10,3
1,15,11,3,11,3
1,15,11,0,11,0
1,15,11,0,11,0
0,15,11,1,11,1
0,15,11,2,11,2
0,15,12,3,12,3
0,15,12,0,12,0
1,15,12,0,12,0
1,15,12,1,12,1
1,15,12,3,12,3
1,15,12,1,12,1
1,15,13,2,13,2
1,15,13,1,13,1
1,15,13,2,13,2
1,15,13,1,13,1
1,15,14,0,14,0
1,15,14,3,14,3
1,15,14,0,14,0
0,15,14,1,14,1
0,15,14,2,14,2
1,15,14,3,14,3
1,15,14,3,14,3
1,15,14,0,14,0
1,15,15,1,15,1
1,15,15,0,15,0
1,15,15,3,15,3
1,15,15,0,15,0
1,15,15,1,15,1
1,15,15,3,15,3
1,16,0,1,0,1
1,16,0,0,0,0
1,16,0,2,0,2
1,16,0,3,0,3
1,16,0,1,0,1
1,16,0,0,0,0
1,16,0,2,0,2
1,16,0,3,0,3
0,16,1,3,1,3
0,16,1,0,1,0
0,16,1,1,1,1
1,16,2,3,2,3
1,16,2,0,2,0
1,16,2,1,2,1
1,16,2,2,2,2
1,16,2,1,2,1
1,16,2,1,2,1
1,16,2,2,2,2
1,16,2,1,2,1
1,16,2,0,2,0
1,16,2,3,2,3
0,16,3,0,3,0
0,16,3,1,3,1
0,16,3,2,3,2
0,16,3,3,3,3
0,16,4,3,4,3
0,16,4,0,4,0
0,16,4,1,4,1
0,16,5,0,5,0
0,16,5,1,5,1
0,16,5,2,5,2
0,16,5,3,5,3
0,16,6,3,6,3
0,16,6,0,6,0
1,16,6,1,6,1
1,16,6,3,6,3
1,16,7,3,7,3
0,16,7,1,7,1
0,16,7,2,7,2
0,16,8,0,8,0
0,16,8,0,8,0
1,16,8,3,8,3
1,16,9,3,9,3
0,16,9,1,9,1
0,16,9,3,9,3
1,16,10,2,10,2
0,16,10,0,10,0
0,16,10,0,10,0
1,16,11,2,11,2
0,16,11,3,11,3
0,16,12,0,12,0
0,16,12,2,12,2
1,16,12,3,12,3
1,16,12,1,12,1
1,16,12,1,12,1
1,16,13,3,13,3
1,16,13,0,13,0
0,16,13,1,13,1
1,16,13,1,13,1
1,16,14,0,14,0
1,16,14,0,14,0
1,16,14,3,14,3
0,16,14,1,14,1
0,16,14,2,14,2
0,16,15,3,15,3
1,16,15,3,15,3
0,16,15,1,15,1
1,17,0,1,0,1
0,17,0,3,0,3
0,17,0,2,0,2
0,17,1,1,1,1
0,17,1,0,1,0
1,17,1,1,1,1
1,17,2,1,2,1
0,17,2,3,2,3
0,17,2,3,2,3
1,17,3,0,3,0
1,17,3,1,3,1
0,17,3,0,3,0
0,17,3,1,3,1
0,17,4,3,4,3
0,17,4,0,4,0
1,17,4,2,4,2
1,17,4,3,4,3
1,17,5,2,5,2
0,17,5,1,5,1
0,17,5,1,5,1
1,17,6,3,6,3
1,17,6,3,6,3
1,17,6,0,6,0
0,17,6,0,6,0
0,17,6,2,6,2
0,17,7,1,7,1
0,17,7,3,7,3
1,17,7,0,7,0
1,17,8,1,8,1
0,17,8,2,8,2
0,17,8,0,8,0
1,17,9,1,9,1
0,17,9,0,9,0
0,17,9,3,9,3
1,17,10,1,10,1
0,17,10,0,10,0
0,17,10,2,10,2
0,17,11,0,11,0
1,17,11,1,11,1
0,17,11,3,11,3
0,17,12,1,12,1
1,17,12,2,12,2
1,17,12,3,12,3
1,17,12,0,12,0
1,17,13,2,13,2
1,17,13,0,13,0
0,17,13,1,13,1
0,17,13,3,13,3
1,17,13,0,13,0
0,17,14,2,14,2
0,17,14,0,14,0
1,17,14,3,14,3
1,17,14,0,14,0
1,17,14,1,14,1
1,17,15,3,15,3
0,17,15,0,15,0
0,17,15,1,15,1
1,18,0,3,0,3
0,18,0,2,0,2
0,18,0,0,0,0
0,18,1,1,1,1
0,18,1,0,1,0
1,18,1,3,1,3
1,18,2,3,2,3
0,18,2,2,2,2
0,18,2,0,2,0
1,18,3,1,3,1
1,18,3,3,3,3
0,18,3,1,3,1
0,18,3,0,3,0
1,18,4,1,4,1
0,18,4,3,4,3
0,18,4,2,4,2
0,18,4,0,4,0
1,18,5,1,5,1
0,18,5,3,5,3
1,18,6,0,6,0
1,18,6,0,6,0
1,18,6,2,6,2
1,18,6,1,6,1
0,18,6,3,6,3
1,18,6,1,6,1
1,18,7,2,7,2
0,18,7,3,7,3
0,18,8,3,8,3
1,18,8,1,8,1
1,18,8,1,8,1
1,18,8,1,8,1
0,18,9,2,9,2
1,18,9,0,9,0
1,18,9,0,9,0
1,18,9,1,9,1
1,18,10,3,10,3
1,18,10,3,10,3
1,18,10,0,10,0
0,18,10,1,10,1
0,18,10,1,10,1
0,18,10,0,10,0
1,18,10,0,10,0
0,18,11,2,11,2
1,18,11,3,11,3
1,18,11,3,11,3
1,18,12,0,12,0
1,18,12,0,12,0
1,18,12,1,12,1
1,18,12,1,12,1
0,18,12,3,12,3
1,18,12,1,12,1
0,18,13,3,13,3
1,18,13,1,13,1
0,18,14,1,14,1
0,18,14,3,14,3
1,18,14,1,14,1
1,18,14,0,14,0
1,18,14,2,14,2
1,18,14,0,14,0
1,18,14,1,14,1
0,18,15,3,15,3
1,18,15,2,15,2
1,19,0,1,0,1
0,19,0,3,0,3
1,19,0,1,0,1
1,19,0,0,0,0
1,19,0,0,0,0
1,19,0,1,0,1
1,19,1,1,1,1
1,19,1,0,1,0
0,19,1,2,1,2
1,19,1,0,1,0
0,19,2,0,2,0
1,19,2,3,2,3
0,19,2,1,2,1
1,19,2,3,2,3
1,19,2,1,2,1
1,19,2,0,2,0
1,19,2,0,2,0
0,19,3,2,3,2
1,19,3,1,3,1
1,19,4,0,4,0
0,19,4,1,4,1
1,19,4,0,4,0
1,19,4,0,4,0
1,19,5,3,5,3
1,19,5,3,5,3
1,19,5,0,5,0
0,19,5,1,5,1
1,19,6,1,6,1
1,19,6,0,6,0
1,19,6,0,6,0
1,19,6,1,6,1
1,19,6,2,6,2
1,19,6,3,6,3
1,19,6,3,6,3
1,19,7,1,7,1
1,19,7,1,7,1
1,19,7,0,7,0
1,19,8,0,8,0
1,19,8,2,8,2
0,19,8,0,8,0
0,19,8,1,8,1
1,19,8,3,8,3
1,19,10,1,10,1
1,19,10,0,10,0
1,19,10,3,10,3
1,19,10,0,10,0
1,19,10,1,10,1
1,19,10,2,10,2
1,19,11,1,11,1
1,19,11,2,11,2
1,19,11,1,11,1
0,19,12,1,12,1
0,19,12,2,12,2
1,19,12,3,12,3
1,19,12,3,12,3
1,19,12,0,12,0
1,19,14,3,14,3
1,19,14,1,14,1
1,19,14,0,14,0
1,19,14,2,14,2
1,19,14,1,14,1
1,19,14,3,14,3
1,19,15,2,15,2
1,19,15,3,15,3
1,19,15,1,15,1
1,20,0,1,0,1
0,20,0,1,0,1
0,20,0,3,0,3
1,20,0,0,0,0
1,20,0,0,0,0
0,20,1,0,1,0
0,20,1,0,1,0
0,20,2,3,2,3
0,20,2,1,2,1
1,20,2,3,2,3
0,20,2,2,2,2
0,20,3,0,3,0
0,20,3,0,3,0
0,20,3,3,3,3
0,20,3,1,3,1
0,20,4,0,4,0
0,20,4,0,4,0
0,20,4,3,4,3
0,20,4,2,4,2
0,20,5,0,5,0
0,20,5,0,5,0
0,20,5,3,5,3
0,20,6,1,6,1
1,20,6,1,6,1
1,20,6,3,6,3
1,20,7,3,7,3
0,20,7,0,7,0
0,20,8,0,8,0
1,20,8,1,8,1
1,20,8,3,8,3
1,20,8,2,8,2
0,20,8,1,8,1
1,20,9,3,9,3
1,20,9,3,9,3
0,20,9,1,9,1
1,20,10,3,10,3
1,20,10,0,10,0
1,20,10,3,10,3
0,20,11,1,11,1
0,20,11,0,11,0
1,20,11,3,11,3
1,20,11,2,11,2
1,20,12,3,12,3
1,20,12,2,12,2
0,20,12,1,12,1
1,20,12,0,12,0
1,20,13,3,13,3
1,20,13,3,13,3
0,20,13,0,13,0
1,20,14,0,14,0
1,20,14,3,14,3
1,20,14,3,14,3
0,20,14,1,14,1
0,20,15,1,15,1
1,20,15,3,15,3
1,20,15,2,15,2
1,21,0,3,0,3
1,21,0,0,0,0
1,21,0,2,0,2
0,21,0,0,0,0
1,21,1,3,1,3
1,21,1,3,1,3
0,21,1,0,1,0
1,21,2,3,2,3
1,21,2,3,2,3
0,21,2,0,2,0
1,21,2,1,2,1
1,21,3,3,3,3
0,21,3,1,3,1
1,21,3,2,3,2
1,21,4,3,4,3
1,21,4,2,4,2
0,21,4,0,4,0
1,21,4,1,4,1
1,21,5,3,5,3
1,21,5,3,5,3
0,21,5,0,5,0
0,21,6,1,6,1
1,21,6,1,6,1
1,21,6,3,6,3
1,21,6,3,6,3
1,21,7,2,7,2
1,21,7,3,7,3
0,21,7,0,7,0
1,21,8,1,8,1
0,21,8,1,8,1
1,21,8,3,8,3
1,21,8,2,8,2
0,21,8,0,8,0
0,21,9,1,9,1
1,21,9,3,9,3
1,21,9,3,9,3
1,21,10,3,10,3
1,21,10,3,10,3
1,21,10,0,10,0
0,21,11,1,11,1
1,21,11,3,11,3
1,21,11,2,11,2
0,21,11,0,11,0
0,21,12,1,12,1
1,21,12,2,12,2
1,21,12,3,12,3
1,21,12,0,12,0
1,21,13,3,13,3
1,21,13,3,13,3
0,21,13,0,13,0
1,21,14,0,14,0
0,21,14,1,14,1
1,21,14,3,14,3
1,21,14,3,14,3
1,21,15,2,15,2
1,21,15,3,15,3
0,21,15,1,15,1
1,22,0,0,0,0
1,22,0,3,0,3
1,22,0,2,0,2
0,22,0,0,0,0
0,22,0,1,0,1
1,22,1,3,1,3
1,22,1,3,1,3
0,22,1,0,1,0
1,22,2,3,2,3
0,22,2,1,2,1
1,22,2,1,2,1
1,22,2,3,2,3
1,22,3,3,3,3
0,22,3,0,3,0
1,22,3,2,3,2
1,22,4,3,4,3
1,22,4,1,4,1
1,22,4,2,4,2
0,22,4,0,4,0
1,22,5,3,5,3
1,22,5,2,5,2
1,22,5,3,5,3
0,22,5,0,5,0
0,22,6,1,6,1
1,22,6,0,6,0
1,22,6,2,6,2
1,22,6,3,6,3
1,22,6,3,6,3
1,22,7,0,7,0
0,22,7,3,7,3
1,22,7,3,7,3
0,22,8,3,8,3
1,22,8,2,8,2
1,22,8,0,8,0
1,22,8,1,8,1
0,22,8,1,8,1
0,22,9,2,9,2
1,22,9,0,9,0
1,22,9,0,9,0
1,22,10,0,10,0
1,22,10,0,10,0
1,22,10,3,10,3
1,22,11,0,11,0
0,22,11,3,11,3
0,22,11,1,11,1
1,22,11,1,11,1
1,22,12,0,12,0
1,22,12,1,12,1
0,22,12,2,12,2
1,22,12,3,12,3
1,22,13,0,13,0
1,22,13,0,13,0
0,22,13,3,13,3
1,22,14,0,14,0
1,22,14,0,14,0
1,22,14,3,14,3
0,22,14,1,14,1
1,22,15,1,15,1
0,22,15,2,15,2
1,22,15,0,15,0
0,23,0,3,0,3
1,23,0,1,0,1
1,23,0,3,0,3
1,23,0,0,0,0
1,23,1,0,1,0
1,23,1,0,1,0
0,23,1,3,1,3
1,23,2,0,2,0
1,23,2,0,2,0
1,23,2,1,2,1
0,23,2,3,2,3
1,23,3,1,3,1
1,23,3,0,3,0
0,23,3,2,3,2
0,23,4,3,4,3
1,23,4,1,4,1
1,23,4,1,4,1
1,23,4,0,4,0
1,23,5,0,5,0
1,23,5,0,5,0
0,23,5,3,5,3
0,23,6,1,6,1
1,23,6,0,6,0
1,23,6,2,6,2
1,23,6,0,6,0
1,23,7,1,7,1
1,23,7,0,7,0
0,23,7,3,7,3
1,23,8,2,8,2
1,23,8,0,8,0
1,23,8,1,8,1
0,23,8,3,8,3
0,23,8,1,8,1
0,23,9,2,9,2
1,23,9,0,9,0
1,23,9,0,9,0
1,23,10,0,10,0
1,23,10,0,10,0
1,23,10,3,10,3
1,23,11,0,11,0
0,23,11,3,11,3
0,23,11,1,11,1
1,23,11,1,11,1
0,23,12,2,12,2
1,23,12,3,12,3
1,23,12,0,12,0
1,23,12,1,12,1
0,23,13,3,13,3
1,23,13,0,13,0
1,23,13,0,13,0
1,23,13,1,13,1
1,23,14,0,14,0
1,23,14,0,14,0
0,23,14,3,14,3
1,23,15,0,15,0
0,23,15,1,15,1
0,24,6,2,6,2
0,24,6,3,6,3
0,24,6,0,6,0
1,24,6,3,6,3
0,24,6,0,6,0
1,24,7,1,7,1
0,24,7,1,7,1
1,24,8,2,8,2
0,24,8,0,8,0
1,24,9,3,9,3
1,24,9,0,9,0
0,24,9,1,9,1
1,24,10,1,10,1
0,24,10,0,10,0
1,24,10,3,10,3
0,24,10,3,10,3
1,24,11,1,11,1
0,24,11,1,11,1
1,24,11,2,11,2
1,24,12,0,12,0
1,24,12,2,12,2
0,24,12,3,12,3
1,24,13,3,13,3
1,24,13,0,13,0
0,24,13,1,13,1
0,24,14,3,14,3
0,24,14,0,14,0
1,24,14,3,14,3
1,24,14,1,14,1
1,24,15,2,15,2
1,24,15,1,15,1
0,24,15,1,15,1
1,25,0,2,0,2
0,25,0,0,0,0
1,25,0,0,0,0
1,25,1,3,1,3
1,25,1,0,1,0
0,25,1,1,1,1
0,25,2,0,2,0
0,25,2,3,2,3
1,25,2,3,2,3
1,25,2,0,2,0
1,25,3,1,3,1
1,25,3,0,3,0
0,25,3,1,3,1
1,25,4,2,4,2
1,25,4,1,4,1
0,25,4,0,4,0
1,25,5,3,5,3
1,25,5,2,5,2
0,25,5,1,5,1
1,25,6,0,6,0
0,25,6,0,6,0
0,25,6,3,6,3
1,25,6,3,6,3
1,25,7,1,7,1
0,25,7,1,7,1
1,25,7,0,7,0
0,25,8,3,8,3
1,25,8,1,8,1
1,25,8,2,8,2
1,25,9,1,9,1
1,25,9,2,9,2
0,25,9,1,9,1
1,25,10,3,10,3
1,25,10,1,10,1
0,25,10,0,10,0
0,25,10,3,10,3
0,25,11,1,11,1
1,25,11,0,11,0
1,25,11,3,11,3
1,25,12,2,12,2
1,25,12,0,12,0
0,25,12,0,12,0
1,25,13,2,13,2
0,25,13,1,13,1
1,25,13,1,13,1
1,25,14,3,14,3
0,25,14,0,14,0
1,25,14,1,14,1
0,25,14,3,14,3
0,25,15,1,15,1
1,25,15,3,15,3
1,25,15,0,15,0
1,26,0,2,0,2
1,26,0,0,0,0
0,26,0,3,0,3
1,26,1,0,1,0
1,26,1,2,1,2
0,26,1,1,1,1
1,26,2,1,2,1
0,26,2,0,2,0
1,26,2,0,2,0
0,26,2,3,2,3
0,26,3,1,3,1
1,26,3,1,3,1
1,26,3,2,3,2
1,26,4,3,4,3
1,26,4,2,4,2
0,26,4,0,4,0
1,26,5,3,5,3
0,26,5,1,5,1
1,26,5,0,5,0
1,26,6,1,6,1
1,26,6,2,6,2
1,26,6,0,6,0
0,26,6,3,6,3
1,26,7,0,7,0
1,26,7,3,7,3
0,26,7,1,7,1
0,26,8,1,8,1
1,26,8,3,8,3
1,26,9,0,9,0
1,26,9,3,9,3
0,26,9,1,9,1
1,26,10,0,10,0
1,26,10,0,10,0
0,26,10,2,10,2
0,26,10,1,10,1
1,26,11,3,11,3
1,26,11,0,11,0
0,26,11,1,11,1
1,26,12,3,12,3
0,26,12,1,12,1
1,26,12,3,12,3
0,26,13,1,13,1
1,26,13,3,13,3
1,26,13,3,13,3
1,26,14,0,14,0
1,26,14,3,14,3
0,26,14,2,14,2
0,26,14,1,14,1
1,26,15,0,15,0
1,26,15,0,15,0
0,26,15,1,15,1
1,27,0,3,0,3
1,27,0,0,0,0
0,27,0,2,0,2
0,27,1,1,1,1
1,27,1,3,1,3
1,27,1,3,1,3
0,27,2,1,2,1
1,27,2,0,2,0
1,27,2,3,2,3
0,27,2,2,2,2
0,27,3,1,3,1
1,27,3,0,3,0
1,27,3,0,3,0
1,27,4,3,4,3
1,27,4,0,4,0
0,27,4,1,4,1
1,27,5,0,5,0
1,27,5,3,5,3
0,27,5,1,5,1
1,27,6,3,6,3
0,27,6,1,6,1
1,27,6,0,6,0
